2022-9-19	19-55-17	NEW	37550	4501602488_8741_1_1	4501602488	8741	1	1	STRETCHLINE	LULULEMON	AIY 705_Z	5000000140	Z	H205R6/L75441	2022-CP-04397	28	23	0	23	411.29	347.87	0	347.87
2022-9-19	19-55-25	NEW	37550	4501602488_8741_2_1	4501602488	8741	2	1	STRETCHLINE	LULULEMON	AIY 705_Z	5000000140	Z	H205R6/L75441	2022-CP-04397	28	5	0	5	411.29	63.42	0	63.42
2022-9-19	19-56-48	NEW	37550	4501556166_8742_1_1	4501556166	8742	1	1	STRETCHLINE	LULULEMON	AIY 705_Z	5000000140	Z	H205R6/L75441	2022-CP-04396	19	19	0	19	269.78	269.78	0	269.78
2022-9-19	20-12-31	NEW	37550	4501602488_8744_1_1	4501602488	8744	1	1	STRETCHLINE	LULULEMON	AIY 705_S	5000000139	S	H205R7/L75441	2022-CP-04393	82	20	0	20	1193.04	302.59	0	302.59
2022-9-19	20-12-39	NEW	37550	4501602488_8744_2_1	4501602488	8744	2	1	STRETCHLINE	LULULEMON	AIY 705_S	5000000139	S	H205R7/L75441	2022-CP-04393	82	31	0	31	1193.04	455.68	0	455.68
2022-9-19	20-12-46	NEW	37550	4501602488_8744_3_1	4501602488	8744	3	1	STRETCHLINE	LULULEMON	AIY 705_S	5000000139	S	H205R7/L75441	2022-CP-04393	82	19	0	19	1193.04	279.76	0	279.76
2022-9-19	20-12-53	NEW	37550	4501602488_8744_4_1	4501602488	8744	4	1	STRETCHLINE	LULULEMON	AIY 705_S	5000000139	S	H205R7/L75441	2022-CP-04393	82	10	0	10	1193.04	145.2	0	145.2
2022-9-19	20-13-1	NEW	37550	4501602488_8744_5_1	4501602488	8744	5	1	STRETCHLINE	LULULEMON	AIY 705_S	5000000139	S	H205R7/L75441	2022-CP-04393	82	2	0	2	1193.04	9.81	0	9.81
2022-9-19	20-14-48	NEW	37550	4501530435_8746_1_1	4501530435	8746	1	1	STRETCHLINE	LULULEMON	AIY 1009_S	5000005768	S	H205RQ/H205RR/8261/LT98	2022-CP-04391	35	18	0	18	565.91	289.65	0	289.65
2022-9-19	20-14-55	NEW	37550	4501530435_8746_2_1	4501530435	8746	2	1	STRETCHLINE	LULULEMON	AIY 1009_S	5000005768	S	H205RQ/H205RR/8261/LT98	2022-CP-04391	35	12	0	12	565.91	195.04	0	195.04
2022-9-19	20-15-3	NEW	37550	4501530435_8746_3_1	4501530435	8746	3	1	STRETCHLINE	LULULEMON	AIY 1009_S	5000005768	S	H205RQ/H205RR/8261/LT98	2022-CP-04391	35	5	0	5	565.91	81.22	0	81.22
2022-9-19	20-16-29	NEW	37550	4501530435_8747_1_1	4501530435	8747	1	1	STRETCHLINE	LULULEMON	AIY 1009_Z	5000005767	Z	H205RQ/H205RR/8261/LT98	2022-CP-04391	38	10	0	10	623.58	171.7	0	171.7
2022-9-19	20-16-37	NEW	37550	4501530435_8747_2_1	4501530435	8747	2	1	STRETCHLINE	LULULEMON	AIY 1009_Z	5000005767	Z	H205RQ/H205RR/8261/LT98	2022-CP-04391	38	14	0	14	623.58	205.74	0	205.74
2022-9-19	20-16-44	NEW	37550	4501530435_8747_3_1	4501530435	8747	3	1	STRETCHLINE	LULULEMON	AIY 1009_Z	5000005767	Z	H205RQ/H205RR/8261/LT98	2022-CP-04391	38	14	0	14	623.58	246.14	0	246.14
2022-9-19	22-17-38	NEW	37550	4501470464_5186_1_2	4501470464	5186	1	2	STRETCHLINE	ADORE ME	ACY 1304_S	5000006274	S	Z4661/L73330	2022-CP-02849	18	14	10	4	237.88	193.57	62.55	131.02
2022-9-19	23-17-1	NEW	37550	4501608885_7927_1_2	4501608885	7927	1	2	STRETCHLINE	ODLO	AIY 1205_Z(AIY 852)	5000005724	Z	H205RR/GD43101	2022-CP-04067	11	7	5	2	150.96	85.43	53.29	32.14
2022-9-19	23-19-36	NEW	37550	4501608885_7927_1_2	4501608885	7927	1	2	STRETCHLINE	ODLO	AIY 1205_Z(AIY 852)	5000005724	Z	H205RR/GD43101	2022-CP-04067	11	7	4	3	150.96	85.43	52.25	33.18
2022-9-19	23-23-53	NEW	37550	4501608885_7926_1_2	4501608885	7926	1	2	STRETCHLINE	ODLO	AIY 1205_S(AIY 852)	5000005723	S	H205RS/GD43101	2022-CP-04067	11	8	4	4	150.71	102.61	52.25	50.36
